,imagename,red,green,blue,aro,val,exp
114,363817,20,10,9,0.816477,0.358196,3
115,23389,98,50,28,0.401139,0.11646,3
116,385972,138,100,27,0.575881,0.382307,3
117,209369,187,169,167,-0.0215666,0.0,0
118,214016,32,23,18,0.737463,-0.510957,6
119,132535,248,248,248,0.479351,-0.747998,5
120,231667,30,32,21,0.233844,-0.418084,0
121,412780,45,35,46,0.754936,-0.154859,4
122,118823,9,13,12,0.00431332,0.0992063,0
123,261362,200,198,186,0.0238095,0.555556,1
124,21729,5,1,0,0.984127,-0.047619,4
125,307118,182,139,120,0.689223,-0.642231,5
126,390802,44,40,37,0.821877,-0.194262,4
127,8753,223,224,218,-0.316056,-0.142225,0
128,76956,142,62,25,0.648471,-0.140341,7
129,40942,11,158,140,-0.15276,-0.326591,0
130,285343,98,98,72,0.634921,0.214286,3
131,202884,35,65,53,-0.0191395,-0.0038279,0
132,200161,168,163,143,0.846782,-0.119546,4
133,88290,44,10,0,0.579365,0.15873,3
134,327819,242,242,242,0.928571,-0.0793651,4
135,403846,20,10,9,0.367789,-0.706543,5
136,22371,102,75,48,0.362428,-0.314608,7
137,363212,20,10,11,-0.326591,-0.795407,2
138,222621,61,69,72,0.444272,-0.707384,5
139,75808,72,83,41,0.896825,-0.0634921,3
140,320219,250,250,250,0.690131,-0.599551,7
141,109393,17,3,2,0.393117,-0.738021,5
142,361152,181,172,173,0.982385,-0.0338753,4
143,31346,244,237,219,0.015873,0.555556,1
144,396275,255,252,255,0.765306,-0.219671,4
145,295922,200,196,195,0.842815,-0.0579435,3
146,96510,54,47,37,-0.147493,0.474083,0
147,254841,37,25,25,0.526759,-0.753266,5
148,141471,223,132,77,0.0774293,0.65331,1
149,162285,56,21,54,0.809524,-0.0873016,4
150,311607,42,30,34,0.769454,0.358111,3
151,316955,83,83,83,0.380952,-0.912698,5
152,32556,33,21,9,0.436508,-0.690476,5
153,87967,148,148,150,-0.23733,-0.81917,2
154,41724,23,27,26,0.643631,-0.643631,7
155,290322,1,1,1,-0.222222,-0.436508,2
156,331208,2,2,2,-0.244985,-0.761752,2
157,191463,0,0,0,0.832471,-0.0819531,4
158,210581,148,142,144,-0.232288,-0.837205,2
159,298323,238,214,228,0.65873,-0.523809,5
160,217582,72,68,67,0.343593,-0.319396,7
161,377861,170,120,31,-0.142857,-0.18254,0
162,181364,6,6,8,0.97619,-0.111111,4
163,25481,2,2,2,0.677191,-0.340752,6
164,64212,0,1,0,0.687104,-0.16863,4
165,288630,188,188,188,0.247729,-0.378475,0
166,2092,218,232,232,-0.212931,-0.590399,2
167,154926,51,43,32,0.626984,-0.626984,7
168,37605,253,2,0,-0.314557,-0.590399,2
169,228377,168,144,132,0.495154,-0.705858,5
170,396866,31,58,65,0.047619,-0.015873,0
171,208013,147,76,70,0.212585,-0.389739,0
172,192619,136,163,68,0.667828,-0.517809,7
173,252532,95,82,73,0.404762,-0.849206,5
174,15379,29,31,52,0.619048,-0.730159,5
175,198648,9,5,6,-0.166667,-0.333333,2
176,333878,97,1,62,0.261324,0.788811,1
177,210540,128,120,118,0.480921,-0.693787,6
178,128859,1,1,1,0.30552,-0.352929,0
179,281874,45,45,71,-0.445078,-0.86639,2
180,356359,48,36,22,0.515873,-0.825397,5
181,187299,242,251,250,0.380046,-0.737441,5
182,167109,1,1,1,0.422786,-0.359739,7
183,177328,244,184,176,0.517809,-0.314557,6
184,229345,229,213,187,0.728951,0.159593,3
185,285454,149,135,100,0.667828,-0.0677507,4
186,295079,203,206,189,0.468221,-0.60271,5
187,371353,5,5,5,0.105352,0.505689,1
188,134363,67,81,118,0.483164,-0.612672,5
189,59242,0,1,3,0.452381,-0.714286,5
190,107936,45,26,20,0.642857,-0.65873,7
191,104154,246,248,247,0.738095,-0.650794,5
192,208934,109,109,109,0.168563,-0.347661,0
193,348169,189,189,179,0.5,0.150794,3
194,203041,206,187,170,0.779604,-0.121155,4
195,394424,15,13,26,-0.149432,0.0,0
196,290246,86,66,59,0.650794,-0.642857,7
197,261124,20,5,2,-0.375567,-0.170068,0
198,400615,9,17,20,0.936508,-0.230159,4
199,241173,228,228,228,0.484619,-0.753266,5
200,4415,118,101,85,-0.0238095,0.912698,1
201,261205,0,9,16,0.912698,-0.119048,4
202,308839,253,253,243,0.668984,-0.647914,7
203,92908,79,78,74,0.203976,-0.445038,5
204,291310,11,11,11,0.187567,0.769407,1
205,34484,158,68,122,0.0632111,0.484619,1
206,5630,186,159,106,0.666667,-0.642857,7
207,101121,92,102,111,-0.250627,-0.833981,2
208,313611,60,49,31,-0.198413,-0.412698,2
209,116246,91,151,19,0.708161,-0.470831,6
210,282209,191,187,186,0.510923,-0.435417,7
211,42305,119,136,91,0.758533,-0.13169,3
212,257325,50,170,184,0.662989,-0.658149,7
213,21602,42,76,85,0.0555556,0.912698,1
214,7017,137,103,102,0.750097,-0.150019,4
215,372641,50,45,49,0.396825,-0.896825,5
216,206128,178,196,218,0.696864,-0.406504,6
217,336026,125,134,67,0.787009,-0.159394,4
218,316353,7,7,9,0.29036,-0.261324,7
219,9613,210,213,202,0.668984,-0.668984,7
220,230173,32,24,11,-0.309717,0.309717,1
221,96221,20,15,11,0.450058,-0.745257,5
222,315399,77,69,56,0.667464,0.338713,3
223,13109,11,6,3,0.642857,-0.642857,7
224,314929,151,135,84,-0.309717,-0.793651,2
225,260221,17,14,5,0.058072,0.769454,1
226,413848,202,208,180,0.825397,0.293651,3
227,345974,64,54,45,0.00793651,-0.00793651,0
228,348192,42,22,21,0.47619,-0.857143,5
229,41956,64,64,52,0.573671,-0.263112,6
230,407946,175,163,163,0.634921,-0.626984,7
231,231643,35,20,13,0.00793651,0.523809,1
232,336837,9,10,4,0.0238095,0.015873,0
233,290461,254,254,254,0.0793651,0.619048,1
234,88194,42,31,29,0.672878,-0.612491,7
235,177217,43,28,21,0.68254,-0.380952,5
236,262754,125,129,106,0.790139,-0.136957,4
237,155292,231,196,168,0.871688,-0.244073,4
238,216371,215,164,99,0.638792,0.266163,3
239,245219,124,99,154,0.237042,-0.379267,0
240,166405,63,54,49,0.43554,-0.701703,5
241,155779,67,86,64,0.251323,-0.833333,5
242,235192,177,169,158,-0.249853,-0.74221,2
243,204216,218,218,218,0.984127,-0.126984,6
244,354335,244,239,245,0.906555,-0.154413,4
245,360848,207,215,218,0.485755,-0.334743,7
246,360679,8,28,1,0.493777,-0.730519,6
247,384879,192,193,185,0.520991,-0.807913,5
248,197589,32,14,36,0.611111,-0.642857,7
249,134290,0,0,0,0.121155,0.453013,1
250,317273,177,174,167,-0.15528,-0.539165,2
251,349640,84,73,51,-0.387147,-0.832365,2
252,256146,129,124,66,0.47619,-0.666667,5
253,331044,164,173,92,0.493126,0.368599,3
254,389476,205,205,205,0.783972,-0.551684,6
255,184154,149,178,148,-0.0776398,0.547792,1
256,142295,121,78,46,0.469925,-0.652673,5
257,277569,223,159,88,0.690131,-0.573671,7
258,106818,122,176,200,0.444272,-0.750518,5
259,182260,124,152,163,0.638792,-0.643631,7
260,125403,98,67,65,0.420635,-0.761905,5
261,386545,130,130,128,0.155896,0.496032,1
262,299562,225,146,105,0.857449,0.321543,3
263,375576,253,253,253,0.779478,-0.177154,4
264,406768,235,218,200,0.662989,-0.65331,7
265,190834,100,110,122,0.677507,0.227449,3
266,159690,1,1,1,-0.179055,-0.208091,0
267,153142,153,110,129,0.0238095,0.015873,0
268,147522,1,1,1,0.0,0.0,0
269,248482,93,56,50,0.780711,-0.405452,6
270,345280,14,13,11,-0.112146,-0.504658,2
271,45973,219,220,214,0.674252,-0.595238,7
272,60222,79,53,30,0.373016,-0.81746,5
273,82196,49,67,107,-0.14518,-0.914634,2
274,291813,193,187,187,0.416183,-0.058072,3
275,128906,33,20,12,0.479094,-0.425861,7
276,40822,192,100,141,0.00793651,-0.00793651,0
277,413494,38,34,23,-0.00793651,0.00793651,0
278,282984,3,0,0,0.628307,-0.350529,7
279,48563,194,202,204,0.648471,-0.638792,7
280,244057,151,133,123,0.642857,-0.5,5
281,98597,104,107,112,0.642857,0.103175,3
282,253039,253,253,253,0.428571,-0.873016,5
283,184241,45,28,20,0.958188,-0.087108,4
284,377582,28,27,6,0.846782,-0.144451,4
285,80991,41,47,63,0.785714,-0.111111,4
286,71402,137,124,90,0.759775,-0.0483933,3
287,319972,80,78,89,0.373016,-0.833333,5
288,969,108,81,62,0.452381,-0.865079,5
289,206093,221,241,240,0.637379,-0.658449,7
290,129960,139,106,71,0.430203,0.126094,3
291,289128,168,168,168,0.793651,-0.0919473,4
292,320856,238,238,236,-0.101626,0.358111,0
293,396839,41,50,31,0.896825,-0.206349,4
294,403366,116,89,68,0.241967,0.827526,1
295,186039,65,54,48,0.439959,0.11646,3
296,284181,0,0,0,0.358196,-0.674252,6
297,360275,39,40,24,0.65331,-0.648471,7
298,374337,150,11,6,0.551684,-0.788811,5
299,135902,186,159,148,0.769454,-0.0822687,4
300,131150,150,169,176,0.481859,-0.729875,5
301,320738,47,55,68,0.800264,-0.165344,4
302,136912,25,25,25,0.65331,-0.643631,7
303,233958,9,9,21,0.733264,0.185473,3
304,64586,211,220,227,0.638792,-0.638792,7
305,111378,222,221,229,0.698413,-0.119048,4
306,349118,183,188,208,0.495458,-0.729425,5
307,91554,10,16,12,0.452381,-0.865079,5
308,135641,88,67,50,0.464576,-0.348432,7
309,250067,246,234,210,0.831839,-0.473202,6
310,140999,134,101,92,0.701703,-0.130662,4
311,179855,108,78,52,-0.0338753,-0.759775,3
312,267231,47,48,52,0.761905,-0.47619,6
313,275146,35,28,22,0.445485,-0.271821,7
314,127848,252,240,216,0.527487,-0.488773,7
315,332039,29,25,14,0.0298864,0.119546,0
316,172827,94,22,25,0.667828,-0.65331,7
317,221546,69,81,81,0.485487,-0.707572,5
318,256063,251,245,109,-0.316056,0.115887,0
319,72686,19,21,20,0.800613,-0.215817,4
320,374619,64,56,37,0.643631,-0.154859,7
321,2693,36,34,21,0.468254,-0.626984,5
322,342366,252,252,252,0.41483,-0.801573,5
323,196980,188,167,124,-0.163906,-0.530538,2
324,386346,94,105,167,0.263997,0.592748,1
325,307860,29,25,14,0.0517598,-0.0258799,0
326,289199,86,86,86,0.808169,0.329075,3
327,205454,37,36,34,-0.421407,-0.100084,0
328,403106,2,2,2,0.489542,-0.815903,5
329,402420,54,45,30,0.414079,0.370945,3
330,47939,66,55,59,0.611111,-0.269841,6
331,66820,36,44,46,0.572823,0.288902,3
332,131538,212,212,212,0.638371,-0.612491,7
333,142507,114,114,114,0.643631,0.183895,7
334,79583,255,160,148,0.753968,-0.0952381,4
335,125308,58,58,60,0.777063,-0.107181,4
336,5488,112,139,158,0.785024,-0.0905797,4
337,7911,171,137,127,0.856744,-0.119546,4
338,346149,243,255,255,-0.00862664,-0.11646,0
339,359266,0,0,37,0.744048,-0.169102,4
340,163890,27,23,12,0.463548,-0.747998,6
341,288591,171,183,183,0.658149,-0.658149,7
342,209478,197,192,160,0.667828,-0.662989,7
343,255582,77,77,77,0.648471,-0.643631,7
344,113246,0,0,0,0.126422,0.500421,1
345,14495,10,5,1,-0.226507,0.410872,0
346,157918,70,63,45,0.81746,-0.103175,4
347,239477,65,52,59,-0.346894,-0.851466,2
348,41827,100,103,96,0.00793651,-0.833333,2
349,107811,0,5,1,0.65252,-0.542937,7
350,139625,124,113,111,-0.214286,-0.428571,2
351,109791,14,2,2,-0.0338753,0.803329,1
352,91288,81,64,46,0.546845,-0.275842,6
353,38111,117,113,114,0.90312,-0.14908,4
354,195222,84,84,82,-0.198413,-0.873016,2
355,304597,241,242,228,-0.333333,-0.912698,2
356,360752,150,101,69,0.849206,-0.0396825,3
357,393073,250,249,247,0.271003,-0.648471,5
358,299053,36,34,35,0.00483933,0.00967867,0
359,129244,81,50,32,0.806934,-0.41841,6
360,346564,146,149,132,0.801587,-0.436508,6
361,281548,114,114,114,0.782028,-0.468221,6
362,410377,46,62,52,0.165153,-0.440407,0
363,247224,100,54,21,-0.014518,0.687185,1
364,209308,44,15,9,0.237127,-0.542005,5
365,374264,91,78,61,0.134921,0.865079,1
366,15603,21,18,13,-0.0774293,-0.0483933,0
367,1492,150,72,6,0.0555556,-0.0793651,0
368,286679,138,97,65,-0.169377,-0.933991,2
369,355130,29,18,32,0.836142,-0.127474,4
370,337368,17,17,17,0.412698,-0.904762,5
371,2576,13,15,1,0.920635,0.174603,3
372,270360,254,255,232,0.865079,-0.142857,4
373,9723,59,68,83,0.474255,-0.445219,7
374,250730,52,13,18,0.314872,-0.150966,6
375,221179,205,209,210,0.0919473,0.779133,1
376,357884,101,90,70,0.65457,-0.646915,7
377,228353,57,67,69,-0.179055,-0.50813,2
378,121592,252,251,255,0.515873,-0.325397,6
379,254609,71,60,42,0.396825,-0.865079,5
380,57109,45,6,9,0.156829,0.499002,1
381,374432,254,254,254,0.454897,-0.817847,5
382,64400,93,83,107,0.761905,-0.119048,4
383,242577,123,143,152,0.47619,0.269841,1
384,176629,107,107,107,0.561363,-0.193573,7
385,172786,93,94,86,0.210704,-0.39507,0
386,308671,147,159,173,0.15873,0.690476,1
387,151550,5,7,6,-0.273915,-0.54783,2
388,186087,141,133,122,-0.0038279,0.0038279,0
389,212568,200,170,132,0.206441,0.474814,1
390,153941,21,21,21,0.968254,0.190476,3
391,406970,128,109,94,0.825397,-0.444444,6
392,413100,194,194,158,0.667464,-0.562861,7
393,238366,1,5,16,0.667828,-0.561363,7
394,355109,22,22,22,0.36295,-0.140341,6
395,133051,4,4,4,0.706543,0.232288,3
396,126310,227,234,226,0.666667,0.166667,3
397,202776,2,11,6,-0.0238095,0.00793651,0
398,304858,139,134,112,-0.365079,-0.68254,2
399,244436,154,138,123,0.460317,-0.722222,5
400,367852,89,104,109,0.58072,0.203252,3
401,46280,30,21,16,0.65331,-0.087108,3
402,391709,232,194,191,0.112146,0.763458,1
403,195837,33,24,17,-0.266163,-0.658149,2
404,125101,52,48,37,-0.411343,-0.866241,2
405,81824,167,149,139,0.619435,0.154859,7
406,6150,106,99,89,0.557391,-0.750069,5
407,243403,235,226,197,-0.325397,-0.230159,2
408,237936,34,32,33,0.802879,0.311462,3
409,157666,71,104,57,0.026455,0.833333,1
410,217540,135,122,113,0.662483,-0.542937,7
411,128729,74,82,71,0.579365,-0.261905,6
412,270170,15,15,15,0.32377,0.762104,1
413,18615,0,0,0,0.65873,-0.238095,6
414,342017,3,4,6,0.450058,-0.164537,5
415,203249,31,21,22,0.500421,-0.779604,6
416,207265,84,44,42,0.779133,-0.0822687,4
417,400563,42,33,18,-0.410639,-0.244876,2
418,134792,169,150,146,0.750097,-0.295199,4
419,120777,103,77,40,0.634921,-0.666667,7
420,362476,11,6,3,0.015873,0.0,0
421,197251,115,98,82,0.753968,-0.650794,5
422,184230,48,14,5,0.774336,-0.158028,4
423,176007,28,38,29,0.542005,-0.808169,5
424,78104,1,0,0,0.511793,0.207684,3
425,357599,192,205,211,-0.134921,-0.325397,2
426,4204,253,239,194,0.469415,-0.43554,7
427,406121,14,2,2,0.58072,0.701703,1
428,321276,195,182,174,0.493799,-0.727301,5
429,135284,220,190,162,-0.0193573,0.7259,1
430,54800,51,32,38,0.485755,-0.407732,7
431,1658,1,1,1,0.396825,-0.753968,5
432,318692,45,42,37,0.642857,-0.634921,7
433,373025,91,91,91,0.512969,-0.493612,7
434,293479,69,67,29,0.314557,-0.295199,7
435,194942,194,191,212,0.0895491,0.337126,0
436,50258,131,144,114,0.7259,-0.391986,6
437,335988,27,24,19,0.409765,0.0905797,3
438,352061,90,80,44,0.526225,0.159593,3
439,230845,24,100,98,0.822368,0.383772,3
440,393307,3,15,15,0.677507,-0.0967867,4
441,340178,164,161,154,0.134921,-0.857143,2
442,219307,6,5,1,-0.373016,-0.706349,2
443,353540,244,253,252,0.0,0.857143,1
444,310601,117,119,108,0.293651,-0.650794,7
445,120785,43,39,38,0.653182,-0.642646,7
446,9519,9,9,9,0.801953,-0.154413,4
447,396308,6,6,6,0.46729,-0.626762,5
448,286417,131,135,138,0.734127,0.257936,3
449,184589,156,146,110,-0.301587,-0.579365,2
450,375306,40,40,40,0.65331,-0.658149,7
451,255116,221,240,255,0.638792,-0.633953,7
452,279410,126,90,66,0.523809,-0.619048,5
453,295412,100,38,27,0.722222,0.230159,3
454,287991,4,2,5,-0.120983,0.222609,0
455,382312,0,0,0,0.653182,-0.642646,7
456,398280,213,205,169,0.396825,-0.380952,6
457,244653,48,38,36,0.412698,-0.746032,5
458,275222,113,96,78,-0.14234,-0.815217,2
459,293507,255,249,251,-0.0690131,0.526225,1
460,61751,108,149,151,-0.353271,-0.125823,0
461,119306,35,33,34,0.094893,0.754831,1
462,201087,232,108,72,0.208091,-0.87108,6
463,124662,24,22,25,0.444444,-0.873016,5
464,144617,176,197,198,0.36295,-0.348432,7
465,353451,138,82,67,0.293651,-0.460317,6
466,79711,44,35,18,0.904762,0.206349,3
467,34096,69,27,3,0.832365,-0.0919473,4
468,42702,173,160,143,0.806934,-0.46324,6
469,396554,255,255,255,0.353271,0.643631,1
470,297704,10,8,19,0.107181,0.696677,1
471,136086,149,60,16,0.0,0.142857,0
472,268972,128,131,112,0.552899,0.363618,3
473,34125,106,63,31,0.686912,-0.165272,4
474,48126,100,96,69,0.162982,-0.368481,0
475,25094,6,0,86,0.696864,-0.711382,5
476,160419,239,238,243,0.777778,-0.380952,6
477,366090,174,113,110,-0.41614,-0.15276,0
478,316505,200,191,184,0.150019,0.880759,1
479,399653,10,10,10,0.14518,0.111305,7
480,109471,93,75,63,0.825397,-0.142857,4
481,333377,255,254,255,0.920635,-0.111111,4
482,181160,15,21,17,0.464576,-0.396825,7
483,159162,212,212,212,-0.198413,-0.890437,2
484,106058,2,2,2,-0.246032,-0.531746,2
485,284125,111,136,133,0.761905,-0.134921,4
486,187601,51,34,27,0.421407,-0.732195,6
487,283713,1,0,6,0.846883,-0.14518,4
488,218448,182,163,94,0.609756,-0.164537,3
489,299429,72,39,22,0.629113,-0.604917,7
490,410362,249,250,252,-0.190476,-0.404762,2
491,264384,79,56,38,0.672667,-0.600077,7
492,55313,21,27,23,-0.229674,-0.903384,2
493,238737,103,103,103,0.174603,0.873016,1
494,367598,227,201,186,0.793651,-0.492063,6
495,311141,115,86,72,0.238095,-0.746032,6
496,338098,226,229,210,0.380952,0.230159,3
497,56743,133,134,128,0.65873,-0.611111,7
498,196717,111,74,6,-0.388889,-0.825397,2
499,257423,240,237,230,0.58072,-0.324235,5
500,403888,244,244,244,0.205436,-0.43721,0
501,76413,183,176,170,0.409765,-0.711698,5
502,396210,88,82,50,0.428571,-0.674603,6
503,342766,3,3,5,0.174603,0.888889,1
504,30927,200,188,172,0.333333,-0.84127,5
505,384205,1,0,5,0.647914,-0.642646,7
506,36074,42,44,23,0.411343,-0.79849,5
507,61830,78,21,40,0.761905,-0.412698,6
508,295001,109,75,48,0.68254,0.18254,3
509,278278,72,102,100,0.571429,-0.15873,4
510,344377,31,11,12,0.488773,-0.406504,7
511,247225,73,76,81,-0.400534,-0.819611,2
512,323434,254,254,254,0.222609,-0.421022,5
513,75608,32,15,5,0.592748,0.303845,3
514,338827,79,63,40,0.865079,0.18254,3
515,400991,138,138,138,0.560732,0.15528,3
516,131903,99,102,83,0.920635,-0.142857,3
517,265345,19,16,7,0.50813,-0.459737,7
518,325717,22,17,14,0.198413,-0.571429,6
519,108467,12,18,18,-0.306232,-0.723473,2
520,316527,75,69,71,-0.00864229,-0.0216057,0
521,4262,251,255,254,0.738095,-0.357143,6
522,329604,201,191,182,0.663717,-0.653182,7
523,396790,236,229,203,0.459737,-0.754936,5
524,56479,1,3,2,0.740418,0.241967,3
525,290879,168,141,112,-0.015873,0.571429,1
526,38803,224,208,121,0.412698,0.015873,3
527,63789,71,64,48,-0.408778,-0.136259,2
528,359999,198,145,103,0.483933,0.154859,3
529,337555,224,212,224,-0.293651,-0.18254,2
530,178291,250,250,250,0.430701,-0.7259,5
531,254885,10,10,10,0.496959,-0.441329,7
532,7538,61,67,57,-0.293651,-0.706349,2
533,372748,63,51,61,-0.349206,-0.785714,2
534,330019,181,168,152,0.229035,-0.357395,5
535,165200,77,14,9,0.690476,0.00793651,3
536,150883,72,72,82,-0.01294,0.00431332,0
537,244498,54,45,50,0.155561,-0.71731,5
538,328579,177,127,66,0.808169,0.382307,3
539,119521,236,205,185,0.800264,-0.119048,4
540,331262,166,166,168,-0.125823,-0.338753,2
541,167609,23,18,24,-0.338753,-0.788811,2
542,385804,28,16,16,0.436508,-0.801587,5
543,208410,70,57,13,0.110619,-0.400337,0
544,180394,237,237,237,-0.382307,-0.556523,2
545,147828,1,1,0,0.452381,0.238095,7
546,282381,209,209,209,-0.348339,-0.727301,2
547,377296,34,29,23,0.404762,-0.571429,6
548,397927,240,229,223,0.222222,0.68254,1
549,290831,0,0,0,-0.183895,0.556523,1
550,233881,51,54,25,-0.269841,-0.174603,2
551,328092,9,9,9,0.738784,-0.428724,6
552,402047,119,36,44,0.445219,-0.387147,7
553,387108,67,56,60,-0.396825,-0.600077,2
554,285908,21,25,34,0.0,0.015873,0
555,379369,75,57,45,0.439281,-0.748596,5
556,290533,58,60,46,0.00793651,0.00793651,0
557,328356,40,34,48,0.301932,-0.0992063,6
558,17853,83,71,59,0.643631,-0.65331,7
559,95044,150,106,79,-0.0560732,-0.138026,0
560,403901,91,69,81,-0.00793651,0.190476,0
561,30122,25,18,2,0.275938,0.693787,1
562,264581,154,134,75,0.784986,-0.202745,4
563,124031,109,61,39,0.512357,-0.369198,7
564,31692,130,133,106,0.258112,-0.326591,0
565,242348,156,169,178,0.015873,-0.00793651,0
566,210206,10,10,10,-0.26338,-0.70059,2
567,13048,33,33,25,0.483933,-0.464576,7
568,233183,190,203,209,-0.015873,0.523809,1
569,83012,250,250,250,0.523809,-0.587302,5
570,135376,149,138,142,0.806934,-0.473202,6
571,195099,79,67,67,0.842044,-0.135501,3
572,215100,24,56,139,0.150019,0.803329,1
573,390486,24,20,19,0.150019,0.648471,1
574,126798,121,122,124,0.450058,-0.769454,5
575,213059,57,31,16,0.582298,0.168219,3
576,392817,45,59,36,0.468137,-0.417799,7
577,267243,180,162,124,0.809524,-0.111111,4
578,66733,43,33,32,0.453013,-0.758533,6
579,144322,60,34,43,0.698413,-0.650794,7
